,Model,Dataset,Repetition,Fold,Accuracy,F1,Recall,Precision
143,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",15,4,0.955,0.9529505859993666,0.955,0.9603138528138528
144,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",15,5,0.965,0.9642011454527502,0.965,0.9643400167084376
145,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",15,6,0.965,0.9648395378690628,0.965,0.9653968253968256
146,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",15,7,0.97,0.969285557334338,0.97,0.9702648332060096
147,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",15,8,0.97,0.9698655409631018,0.97,0.9702130325814536
148,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",15,9,0.975,0.9745956354300386,0.975,0.974920634920635
149,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",15,10,0.935,0.9345193843268298,0.935,0.937734040984815
150,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",16,1,0.985,0.984971810389012,0.985,0.986147186147186
151,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",16,2,0.96,0.9587640079103495,0.96,0.958949579831933
152,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",16,3,0.955,0.9549968730456536,0.955,0.9552380952380952
153,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",16,4,0.965,0.9642632750119988,0.965,0.9668348861283644
154,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",16,5,0.96,0.9596446169089988,0.96,0.9617545015371104
155,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",16,6,0.985,0.9849906191369604,0.985,0.9852130325814537
156,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",16,7,0.95,0.9490166392605416,0.95,0.9501896452360848
157,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",16,8,0.95,0.9490021031484448,0.95,0.9496205755029284
158,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",16,9,0.965,0.964291364535267,0.965,0.9650700280112045
159,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",16,10,0.945,0.9444738188640628,0.945,0.9480106516290726
160,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",17,1,0.97,0.969464303347487,0.97,0.9698955722639933
161,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",17,2,0.97,0.9697086524942752,0.97,0.9705916305916308
162,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",17,3,0.95,0.9492486858340518,0.95,0.9501400560224093
163,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",17,4,0.965,0.9646691156677126,0.965,0.9691511387163562
164,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",17,5,0.965,0.964750517785118,0.965,0.9667884545122398
165,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",17,6,0.95,0.948358602504944,0.95,0.9480672268907564
166,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",17,7,0.975,0.9748587933247754,0.975,0.9754761904761904
167,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",17,8,0.965,0.964142164142164,0.965,0.9654095130875316
168,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",17,9,0.96,0.958921485019046,0.96,0.9629761904761904
169,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",17,10,0.905,0.9033980995470084,0.905,0.9063852813852814
170,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",18,1,0.95,0.9477990708478514,0.95,0.9496320346320348
171,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",18,2,0.95,0.9485237483953786,0.95,0.9484126984126984
172,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",18,3,0.97,0.9697086524942752,0.97,0.9705916305916306
173,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",18,4,0.96,0.9593532154507766,0.96,0.9605296664120192
174,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",18,5,0.985,0.9848686679174484,0.985,0.9849749373433584
