Model,Dataset,Repetition,Fold,Accuracy,F1,Recall,Precision
KNN,mfeat_fou,4,6,1.0,1.0,1.0,1.0
KNN,mfeat_fou,4,7,1.0,1.0,1.0,1.0
KNN,mfeat_fou,4,8,1.0,1.0,1.0,1.0
KNN,mfeat_fou,4,9,1.0,1.0,1.0,1.0
KNN,mfeat_fou,4,10,0.845,0.8455706552646578,0.845,0.8516272939381703
KNN,mfeat_fou,5,1,1.0,1.0,1.0,1.0
KNN,mfeat_fou,5,2,1.0,1.0,1.0,1.0
KNN,mfeat_fou,5,3,1.0,1.0,1.0,1.0
KNN,mfeat_fou,5,4,1.0,1.0,1.0,1.0
KNN,mfeat_fou,5,5,1.0,1.0,1.0,1.0
KNN,mfeat_fou,5,6,1.0,1.0,1.0,1.0
KNN,mfeat_fou,5,7,1.0,1.0,1.0,1.0
KNN,mfeat_fou,5,8,1.0,1.0,1.0,1.0
KNN,mfeat_fou,5,9,1.0,1.0,1.0,1.0
KNN,mfeat_fou,5,10,0.85,0.8462028603902415,0.85,0.8493549818512801
KNN,mfeat_fou,6,1,1.0,1.0,1.0,1.0
KNN,mfeat_fou,6,2,1.0,1.0,1.0,1.0
KNN,mfeat_fou,6,3,1.0,1.0,1.0,1.0
KNN,mfeat_fou,6,4,1.0,1.0,1.0,1.0
KNN,mfeat_fou,6,5,1.0,1.0,1.0,1.0
KNN,mfeat_fou,6,6,1.0,1.0,1.0,1.0
KNN,mfeat_fou,6,7,1.0,1.0,1.0,1.0
KNN,mfeat_fou,6,8,1.0,1.0,1.0,1.0
KNN,mfeat_fou,6,9,1.0,1.0,1.0,1.0
KNN,mfeat_fou,6,10,0.845,0.8451696501696502,0.845,0.8475612158739092
KNN,mfeat_fou,7,1,1.0,1.0,1.0,1.0
KNN,mfeat_fou,7,2,1.0,1.0,1.0,1.0
KNN,mfeat_fou,7,3,1.0,1.0,1.0,1.0
KNN,mfeat_fou,7,4,1.0,1.0,1.0,1.0
KNN,mfeat_fou,7,5,1.0,1.0,1.0,1.0
KNN,mfeat_fou,7,6,1.0,1.0,1.0,1.0
KNN,mfeat_fou,7,7,1.0,1.0,1.0,1.0
KNN,mfeat_fou,7,8,1.0,1.0,1.0,1.0
KNN,mfeat_fou,7,9,1.0,1.0,1.0,1.0
KNN,mfeat_fou,7,10,0.825,0.8286216636024082,0.825,0.8372892458418774
KNN,mfeat_fou,8,1,1.0,1.0,1.0,1.0
KNN,mfeat_fou,8,2,1.0,1.0,1.0,1.0
KNN,mfeat_fou,8,3,1.0,1.0,1.0,1.0
KNN,mfeat_fou,8,4,1.0,1.0,1.0,1.0
KNN,mfeat_fou,8,5,1.0,1.0,1.0,1.0
KNN,mfeat_fou,8,6,1.0,1.0,1.0,1.0
KNN,mfeat_fou,8,7,1.0,1.0,1.0,1.0
KNN,mfeat_fou,8,8,1.0,1.0,1.0,1.0
KNN,mfeat_fou,8,9,1.0,1.0,1.0,1.0
KNN,mfeat_fou,8,10,0.87,0.8693708865660085,0.87,0.8716233766233766
KNN,mfeat_fou,9,1,1.0,1.0,1.0,1.0
KNN,mfeat_fou,9,2,1.0,1.0,1.0,1.0
KNN,mfeat_fou,9,3,1.0,1.0,1.0,1.0
KNN,mfeat_fou,9,4,1.0,1.0,1.0,1.0
KNN,mfeat_fou,9,5,1.0,1.0,1.0,1.0
KNN,mfeat_fou,9,6,1.0,1.0,1.0,1.0
KNN,mfeat_fou,9,7,1.0,1.0,1.0,1.0
KNN,mfeat_fou,9,8,1.0,1.0,1.0,1.0
KNN,mfeat_fou,9,9,1.0,1.0,1.0,1.0
KNN,mfeat_fou,9,10,0.825,0.8209516756243328,0.825,0.8195511506037824
KNN,mfeat_fou,10,1,1.0,1.0,1.0,1.0
KNN,mfeat_fou,10,2,1.0,1.0,1.0,1.0
KNN,mfeat_fou,10,3,1.0,1.0,1.0,1.0
KNN,mfeat_fou,10,4,1.0,1.0,1.0,1.0
KNN,mfeat_fou,10,5,1.0,1.0,1.0,1.0
KNN,mfeat_fou,10,6,1.0,1.0,1.0,1.0
KNN,mfeat_fou,10,7,1.0,1.0,1.0,1.0
KNN,mfeat_fou,10,8,1.0,1.0,1.0,1.0
KNN,mfeat_fou,10,9,1.0,1.0,1.0,1.0
KNN,mfeat_fou,10,10,0.835,0.8376185227237559,0.835,0.8421818379941951
KNN,mfeat_fou,11,1,1.0,1.0,1.0,1.0
KNN,mfeat_fou,11,2,1.0,1.0,1.0,1.0
KNN,mfeat_fou,11,3,1.0,1.0,1.0,1.0
KNN,mfeat_fou,11,4,1.0,1.0,1.0,1.0
KNN,mfeat_fou,11,5,1.0,1.0,1.0,1.0
KNN,mfeat_fou,11,6,1.0,1.0,1.0,1.0
KNN,mfeat_fou,11,7,1.0,1.0,1.0,1.0
KNN,mfeat_fou,11,8,1.0,1.0,1.0,1.0
KNN,mfeat_fou,11,9,1.0,1.0,1.0,1.0
KNN,mfeat_fou,11,10,0.835,0.833831839824466,0.835,0.8379645853764847
KNN,mfeat_fou,12,1,1.0,1.0,1.0,1.0
KNN,mfeat_fou,12,2,1.0,1.0,1.0,1.0
KNN,mfeat_fou,12,3,1.0,1.0,1.0,1.0
KNN,mfeat_fou,12,4,1.0,1.0,1.0,1.0
KNN,mfeat_fou,12,5,1.0,1.0,1.0,1.0
KNN,mfeat_fou,12,6,1.0,1.0,1.0,1.0
KNN,mfeat_fou,12,7,1.0,1.0,1.0,1.0
KNN,mfeat_fou,12,8,1.0,1.0,1.0,1.0
KNN,mfeat_fou,12,9,1.0,1.0,1.0,1.0
